"","country","year","pop","continent","lifeExp","gdpPercap"
"1","Cambodia",1952,4693836,"Asia",39.417,368.4692856
"2","Cambodia",1957,5322536,"Asia",41.366,434.0383364
"3","Cambodia",1962,6083619,"Asia",43.415,496.9136476
"4","Cambodia",1967,6960067,"Asia",45.415,523.4323142
"5","Cambodia",1972,7450606,"Asia",40.317,421.6240257
"6","Cambodia",1977,6978607,"Asia",31.22,524.9721832
"7","Cambodia",1982,7272485,"Asia",50.957,624.4754784
"8","Cambodia",1987,8371791,"Asia",53.914,683.8955732
"9","Cambodia",1992,10150094,"Asia",55.803,682.3031755
"10","Cambodia",1997,11782962,"Asia",56.534,734.28517
"11","Cambodia",2002,12926707,"Asia",56.752,896.2260153
"12","Cambodia",2007,14131858,"Asia",59.723,1713.778686
"13","Canada",1952,14785584,"Americas",68.75,11367.16112
"14","Canada",1957,17010154,"Americas",69.96,12489.95006
"15","Canada",1962,18985849,"Americas",71.3,13462.48555
"16","Canada",1967,20819767,"Americas",72.13,16076.58803
"17","Canada",1972,22284500,"Americas",72.88,18970.57086
"18","Canada",1977,23796400,"Americas",74.21,22090.88306
"19","Canada",1982,25201900,"Americas",75.76,22898.79214
"20","Canada",1987,26549700,"Americas",76.86,26626.51503
"21","Canada",1992,28523502,"Americas",77.95,26342.88426
"22","Canada",1997,30305843,"Americas",78.61,28954.92589
"23","Canada",2002,31902268,"Americas",79.77,33328.96507
"24","Canada",2007,33390141,"Americas",80.653,36319.23501
"25","France",1952,42459667,"Europe",67.41,7029.809327
"26","France",1957,44310863,"Europe",68.93,8662.834898
"27","France",1962,47124000,"Europe",70.51,10560.48553
"28","France",1967,49569000,"Europe",71.55,12999.91766
"29","France",1972,51732000,"Europe",72.38,16107.19171
"30","France",1977,53165019,"Europe",73.83,18292.63514
"31","France",1982,54433565,"Europe",74.89,20293.89746
"32","France",1987,55630100,"Europe",76.34,22066.44214
"33","France",1992,57374179,"Europe",77.46,24703.79615
"34","France",1997,58623428,"Europe",78.64,25889.78487
"35","France",2002,59925035,"Europe",79.59,28926.03234
"36","France",2007,61083916,"Europe",80.657,30470.0167
"37","Haiti",1952,3201488,"Americas",37.579,1840.366939
"38","Haiti",1957,3507701,"Americas",40.696,1726.887882
"39","Haiti",1962,3880130,"Americas",43.59,1796.589032
"40","Haiti",1967,4318137,"Americas",46.243,1452.057666
"41","Haiti",1972,4698301,"Americas",48.042,1654.456946
"42","Haiti",1977,4908554,"Americas",49.923,1874.298931
"43","Haiti",1982,5198399,"Americas",51.461,2011.159549
"44","Haiti",1987,5756203,"Americas",53.636,1823.015995
"45","Haiti",1992,6326682,"Americas",55.089,1456.309517
"46","Haiti",1997,6913545,"Americas",56.671,1341.726931
"47","Haiti",2002,7607651,"Americas",58.137,1270.364932
"48","Haiti",2007,8502814,"Americas",60.916,1201.637154
"49","Rwanda",1952,2534927,"Africa",40,493.3238752
"50","Rwanda",1957,2822082,"Africa",41.5,540.2893983
"51","Rwanda",1962,3051242,"Africa",43,597.4730727
"52","Rwanda",1967,3451079,"Africa",44.1,510.9637142
"53","Rwanda",1972,3992121,"Africa",44.6,590.5806638
"54","Rwanda",1977,4657072,"Africa",45,670.0806011
"55","Rwanda",1982,5507565,"Africa",46.218,881.5706467
"56","Rwanda",1987,6349365,"Africa",44.02,847.991217
"57","Rwanda",1992,7290203,"Africa",23.599,737.0685949
"58","Rwanda",1997,7212583,"Africa",36.087,589.9445051
"59","Rwanda",2002,7852401,"Africa",43.413,785.6537648
"60","Rwanda",2007,8860588,"Africa",46.242,863.0884639
